TOP.5fe6a037.000b1094	START
TOP.5fe7b580.000ab924	user_options->status	0
TOP.5fe7b580.000ab924	user_options->status_json	0
TOP.5fe7b580.000ab924	user_options->status_timer	10
TOP.5fe7b580.000ab924	user_options->stdout_flag	0
TOP.5fe7b580.000ab924	user_options->usage	0
TOP.5fe7b580.000ab924	user_options->username	0
TOP.5fe7b580.000ab924	user_options->veracrypt_pim_start	485
TOP.5fe7b580.000ab924	user_options->veracrypt_pim_stop	485
TOP.5fe7b580.000ab924	user_options->version	0
TOP.5fe7b580.000ab924	user_options->workload_profile	2
TOP.5fe7b580.000ab924	user_options->brain_client	0
TOP.5fe7b580.000ab924	user_options->brain_client_features	2
TOP.5fe7b580.000ab924	user_options->brain_server	0
TOP.5fe7b580.000ab924	user_options->brain_server_timer	300
TOP.5fe7b580.000ab924	user_options->brain_port	6863
TOP.5fe7b580.000ab924	user_options->brain_session	0
TOP.5fe7b580.000ab924	hashes->hashlist_mode	2
TOP.5fe7b580.000ab924	hashes->hashlist_format	0
TOP.5fe7b580.000ab924	hashes->hashes_cnt	0
TOP.5fe7b580.000ab924	hashes->digests_cnt	1
TOP.5fe7b580.000ab924	hashes->digests_done	0
TOP.5fe7b580.000ab924	hashes->salts_cnt	1
TOP.5fe7b580.000ab924	hashes->salts_done	0
TOP.5fe7b580.000ab924	SUB.5fe7b580.000df569	START
TOP.5fe7b580.000ab924	SUB.5fe7b580.000df569	straight_ctx->dict	..\wordlists\wordlist1.txt
TOP.5fe7b580.000ab924	SUB.5fe7b580.000df569	runtime_start	1609020801
TOP.5fe7b580.000ab924	SUB.5fe7b580.000df569	runtime_stop	1609020801
TOP.5fe7b580.000ab924	SUB.5fe7b580.000df569	status-after-work	5
TOP.5fe7b580.000ab924	SUB.5fe7b580.000df569	STOP
TOP.5fe7b580.000ab924	proc_start	1609020800
TOP.5fe7b580.000ab924	proc_stop	1609020802
TOP.5fe7b580.000ab924	STOP
TOP.5fe7b592.000cff87	START
TOP.5fe7b592.000cff87	folder_config->cwd	F:\D_Data\neehackAgent\hashcat
TOP.5fe7b592.000cff87	folder_config->install_dir	.
TOP.5fe7b592.000cff87	folder_config->profile_dir	.
TOP.5fe7b592.000cff87	folder_config->session_dir	.
TOP.5fe7b592.000cff87	folder_config->shared_dir	.
TOP.5fe7b592.000cff87	user_options->separator	:
TOP.5fe7b592.000cff87	user_options->encoding_from	utf-8
TOP.5fe7b592.000cff87	user_options->encoding_to	utf-8
TOP.5fe7b592.000cff87	user_options->rule_buf_l	:
TOP.5fe7b592.000cff87	user_options->rule_buf_r	:
TOP.5fe7b592.000cff87	user_options->session	hashcat
TOP.5fe7b592.000cff87	user_options->limit	0
TOP.5fe7b592.000cff87	user_options->skip	0
TOP.5fe7b592.000cff87	user_options->attack_mode	0
TOP.5fe7b592.000cff87	user_options->benchmark	0
TOP.5fe7b592.000cff87	user_options->benchmark_all	0
TOP.5fe7b592.000cff87	user_options->bitmap_max	18
TOP.5fe7b592.000cff87	user_options->bitmap_min	16
TOP.5fe7b592.000cff87	user_options->debug_mode	0
TOP.5fe7b592.000cff87	user_options->example_hashes	0
TOP.5fe7b592.000cff87	user_options->force	0
TOP.5fe7b592.000cff87	user_options->hwmon_disable	0
TOP.5fe7b592.000cff87	user_options->hwmon_temp_abort	90
TOP.5fe7b592.000cff87	user_options->hash_mode	0
TOP.5fe7b592.000cff87	user_options->hex_charset	0
TOP.5fe7b592.000cff87	user_options->hex_salt	0
TOP.5fe7b592.000cff87	user_options->hex_wordlist	0
TOP.5fe7b592.000cff87	user_options->hook_threads	32
TOP.5fe7b592.000cff87	user_options->increment	0
TOP.5fe7b592.000cff87	user_options->increment_max	256
TOP.5fe7b592.000cff87	user_options->increment_min	1
TOP.5fe7b592.000cff87	user_options->keep_guessing	0
TOP.5fe7b592.000cff87	user_options->kernel_accel	0
TOP.5fe7b592.000cff87	user_options->kernel_loops	0
TOP.5fe7b592.000cff87	user_options->kernel_threads	0
TOP.5fe7b592.000cff87	user_options->keyspace	0
TOP.5fe7b592.000cff87	user_options->left	0
TOP.5fe7b592.000cff87	user_options->logfile_disable	0
TOP.5fe7b592.000cff87	user_options->loopback	0
TOP.5fe7b592.000cff87	user_options->machine_readable	0
TOP.5fe7b592.000cff87	user_options->markov_classic	0
TOP.5fe7b592.000cff87	user_options->markov_disable	0
TOP.5fe7b592.000cff87	user_options->markov_threshold	256
TOP.5fe7b592.000cff87	user_options->backend_info	0
TOP.5fe7b592.000cff87	user_options->backend_vector_width	0
TOP.5fe7b592.000cff87	user_options->optimized_kernel_enable	0
TOP.5fe7b592.000cff87	user_options->outfile_autohex	1
TOP.5fe7b592.000cff87	user_options->outfile_check_timer	5
TOP.5fe7b592.000cff87	user_options->outfile_format	3
TOP.5fe7b592.000cff87	user_options->wordlist_autohex_disable	0
TOP.5fe7b592.000cff87	user_options->potfile_disable	0
TOP.5fe7b592.000cff87	user_options->progress_only	0
TOP.5fe7b592.000cff87	user_options->quiet	0
TOP.5fe7b592.000cff87	user_options->remove	0
TOP.5fe7b592.000cff87	user_options->remove_timer	60
TOP.5fe7b592.000cff87	user_options->restore	0
TOP.5fe7b592.000cff87	user_options->restore_disable	0
TOP.5fe7b592.000cff87	user_options->restore_timer	60
TOP.5fe7b592.000cff87	user_options->rp_files_cnt	0
TOP.5fe7b592.000cff87	user_options->rp_gen	0
TOP.5fe7b592.000cff87	user_options->rp_gen_func_max	4
TOP.5fe7b592.000cff87	user_options->rp_gen_func_min	1
TOP.5fe7b592.000cff87	user_options->rp_gen_seed	0
TOP.5fe7b592.000cff87	user_options->runtime	0
TOP.5fe7b592.000cff87	user_options->scrypt_tmto	0
TOP.5fe7b592.000cff87	user_options->segment_size	33554432
TOP.5fe7b592.000cff87	user_options->self_test_disable	0
TOP.5fe7b592.000cff87	user_options->slow_candidates	0
TOP.5fe7b592.000cff87	user_options->show	0
TOP.5fe7b592.000cff87	user_options->speed_only	0
TOP.5fe7b592.000cff87	user_options->spin_damp	0
TOP.5fe7b592.000cff87	user_options->status	0
TOP.5fe7b592.000cff87	user_options->status_json	0
TOP.5fe7b592.000cff87	user_options->status_timer	10
TOP.5fe7b592.000cff87	user_options->stdout_flag	0
TOP.5fe7b592.000cff87	user_options->usage	0
TOP.5fe7b592.000cff87	user_options->username	0
TOP.5fe7b592.000cff87	user_options->veracrypt_pim_start	485
TOP.5fe7b592.000cff87	user_options->veracrypt_pim_stop	485
TOP.5fe7b592.000cff87	user_options->version	0
TOP.5fe7b592.000cff87	user_options->workload_profile	2
TOP.5fe7b592.000cff87	user_options->brain_client	0
TOP.5fe7b592.000cff87	user_options->brain_client_features	2
TOP.5fe7b592.000cff87	user_options->brain_server	0
TOP.5fe7b592.000cff87	user_options->brain_server_timer	300
TOP.5fe7b592.000cff87	user_options->brain_port	6863
TOP.5fe7b592.000cff87	user_options->brain_session	0
TOP.5fe7b592.000cff87	hashes->hashlist_mode	2
TOP.5fe7b592.000cff87	hashes->hashlist_format	0
TOP.5fe7b592.000cff87	hashes->hashes_cnt	0
TOP.5fe7b592.000cff87	hashes->digests_cnt	1
TOP.5fe7b592.000cff87	hashes->digests_done	0
TOP.5fe7b592.000cff87	hashes->salts_cnt	1
TOP.5fe7b592.000cff87	hashes->salts_done	0
TOP.5fe7b592.000cff87	SUB.5fe7b593.00011076	START
TOP.5fe7b592.000cff87	SUB.5fe7b593.00011076	straight_ctx->dict	..\wordlists\wordlist1.txt
TOP.5fe7b592.000cff87	SUB.5fe7b593.00011076	runtime_start	1609020819
TOP.5fe7b592.000cff87	SUB.5fe7b593.00011076	runtime_stop	1609020819
TOP.5fe7b592.000cff87	SUB.5fe7b593.00011076	status-after-work	5
TOP.5fe7b592.000cff87	SUB.5fe7b593.00011076	STOP
TOP.5fe7b592.000cff87	proc_start	1609020818
TOP.5fe7b592.000cff87	proc_stop	1609020820
TOP.5fe7b592.000cff87	STOP
TOP.5fe7b5a5.00024588	START
TOP.5fe7b5a5.00024588	folder_config->cwd	F:\D_Data\neehackAgent\hashcat
TOP.5fe7b5a5.00024588	folder_config->install_dir	.
TOP.5fe7b5a5.00024588	folder_config->profile_dir	.
TOP.5fe7b5a5.00024588	folder_config->session_dir	.
TOP.5fe7b5a5.00024588	folder_config->shared_dir	.
TOP.5fe7b5a5.00024588	user_options->separator	:
TOP.5fe7b5a5.00024588	user_options->encoding_from	utf-8
TOP.5fe7b5a5.00024588	user_options->encoding_to	utf-8
TOP.5fe7b5a5.00024588	user_options->rule_buf_l	:
TOP.5fe7b5a5.00024588	user_options->rule_buf_r	:
TOP.5fe7b5a5.00024588	user_options->session	hashcat
TOP.5fe7b5a5.00024588	user_options->limit	0
TOP.5fe7b5a5.00024588	user_options->skip	0
TOP.5fe7b5a5.00024588	user_options->attack_mode	0
TOP.5fe7b5a5.00024588	user_options->benchmark	0
TOP.5fe7b5a5.00024588	user_options->benchmark_all	0
TOP.5fe7b5a5.00024588	user_options->bitmap_max	18
TOP.5fe7b5a5.00024588	user_options->bitmap_min	16
TOP.5fe7b5a5.00024588	user_options->debug_mode	0
TOP.5fe7b5a5.00024588	user_options->example_hashes	0
TOP.5fe7b5a5.00024588	user_options->force	0
TOP.5fe7b5a5.00024588	user_options->hwmon_disable	0
TOP.5fe7b5a5.00024588	user_options->hwmon_temp_abort	90
TOP.5fe7b5a5.00024588	user_options->hash_mode	0
TOP.5fe7b5a5.00024588	user_options->hex_charset	0
TOP.5fe7b5a5.00024588	user_options->hex_salt	0
TOP.5fe7b5a5.00024588	user_options->hex_wordlist	0
TOP.5fe7b5a5.00024588	user_options->hook_threads	32
TOP.5fe7b5a5.00024588	user_options->increment	0
TOP.5fe7b5a5.00024588	user_options->increment_max	256
TOP.5fe7b5a5.00024588	user_options->increment_min	1
TOP.5fe7b5a5.00024588	user_options->keep_guessing	0
TOP.5fe7b5a5.00024588	user_options->kernel_accel	0
TOP.5fe7b5a5.00024588	user_options->kernel_loops	0
TOP.5fe7b5a5.00024588	user_options->kernel_threads	0
TOP.5fe7b5a5.00024588	user_options->keyspace	0
TOP.5fe7b5a5.00024588	user_options->left	0
TOP.5fe7b5a5.00024588	user_options->logfile_disable	0
TOP.5fe7b5a5.00024588	user_options->loopback	0
TOP.5fe7b5a5.00024588	user_options->machine_readable	0
TOP.5fe7b5a5.00024588	user_options->markov_classic	0
TOP.5fe7b5a5.00024588	user_options->markov_disable	0
TOP.5fe7b5a5.00024588	user_options->markov_threshold	256
TOP.5fe7b5a5.00024588	user_options->backend_info	0
TOP.5fe7b5a5.00024588	user_options->backend_vector_width	0
TOP.5fe7b5a5.00024588	user_options->optimized_kernel_enable	0
TOP.5fe7b5a5.00024588	user_options->outfile_autohex	1
TOP.5fe7b5a5.00024588	user_options->outfile_check_timer	5
TOP.5fe7b5a5.00024588	user_options->outfile_format	3
TOP.5fe7b5a5.00024588	user_options->wordlist_autohex_disable	0
TOP.5fe7b5a5.00024588	user_options->potfile_disable	0
TOP.5fe7b5a5.00024588	user_options->progress_only	0
TOP.5fe7b5a5.00024588	user_options->quiet	0
TOP.5fe7b5a5.00024588	user_options->remove	0
TOP.5fe7b5a5.00024588	user_options->remove_timer	60
TOP.5fe7b5a5.00024588	user_options->restore	0
TOP.5fe7b5a5.00024588	user_options->restore_disable	0
TOP.5fe7b5a5.00024588	user_options->restore_timer	60
TOP.5fe7b5a5.00024588	user_options->rp_files_cnt	0
TOP.5fe7b5a5.00024588	user_options->rp_gen	0
TOP.5fe7b5a5.00024588	user_options->rp_gen_func_max	4
TOP.5fe7b5a5.00024588	user_options->rp_gen_func_min	1
TOP.5fe7b5a5.00024588	user_options->rp_gen_seed	0
TOP.5fe7b5a5.00024588	user_options->runtime	0
TOP.5fe7b5a5.00024588	user_options->scrypt_tmto	0
TOP.5fe7b5a5.00024588	user_options->segment_size	33554432
TOP.5fe7b5a5.00024588	user_options->self_test_disable	0
TOP.5fe7b5a5.00024588	user_options->slow_candidates	0
TOP.5fe7b5a5.00024588	user_options->show	0
TOP.5fe7b5a5.00024588	user_options->speed_only	0
TOP.5fe7b5a5.00024588	user_options->spin_damp	0
TOP.5fe7b5a5.00024588	user_options->status	0
TOP.5fe7b5a5.00024588	user_options->status_json	0
TOP.5fe7b5a5.00024588	user_options->status_timer	10
TOP.5fe7b5a5.00024588	user_options->stdout_flag	0
TOP.5fe7b5a5.00024588	user_options->usage	0
TOP.5fe7b5a5.00024588	user_options->username	0
TOP.5fe7b5a5.00024588	user_options->veracrypt_pim_start	485
TOP.5fe7b5a5.00024588	user_options->veracrypt_pim_stop	485
TOP.5fe7b5a5.00024588	user_options->version	0
TOP.5fe7b5a5.00024588	user_options->workload_profile	2
TOP.5fe7b5a5.00024588	user_options->brain_client	0
TOP.5fe7b5a5.00024588	user_options->brain_client_features	2
TOP.5fe7b5a5.00024588	user_options->brain_server	0
TOP.5fe7b5a5.00024588	user_options->brain_server_timer	300
TOP.5fe7b5a5.00024588	user_options->brain_port	6863
TOP.5fe7b5a5.00024588	user_options->brain_session	0
TOP.5fe7b5a5.00024588	hashes->hashlist_mode	2
TOP.5fe7b5a5.00024588	hashes->hashlist_format	0
TOP.5fe7b5a5.00024588	hashes->hashes_cnt	0
TOP.5fe7b5a5.00024588	hashes->digests_cnt	1
TOP.5fe7b5a5.00024588	hashes->digests_done	0
TOP.5fe7b5a5.00024588	hashes->salts_cnt	1
TOP.5fe7b5a5.00024588	hashes->salts_done	0
TOP.5fe7b5a5.00024588	SUB.5fe7b5a5.00059113	START
TOP.5fe7b5a5.00024588	SUB.5fe7b5a5.00059113	straight_ctx->dict	..\wordlists\wordlist1.txt
TOP.5fe7b5a5.00024588	SUB.5fe7b5a5.00059113	runtime_start	1609020837
TOP.5fe7b5a5.00024588	SUB.5fe7b5a5.00059113	runtime_stop	1609020837
TOP.5fe7b5a5.00024588	SUB.5fe7b5a5.00059113	status-after-work	5
TOP.5fe7b5a5.00024588	SUB.5fe7b5a5.00059113	STOP
TOP.5fe7b5a5.00024588	proc_start	1609020837
TOP.5fe7b5a5.00024588	proc_stop	1609020838
TOP.5fe7b5a5.00024588	STOP
TOP.5fe7b5b7.00031aa1	START
TOP.5fe7b5b7.00031aa1	folder_config->cwd	F:\D_Data\neehackAgent\hashcat
TOP.5fe7b5b7.00031aa1	folder_config->install_dir	.
TOP.5fe7b5b7.00031aa1	folder_config->profile_dir	.
TOP.5fe7b5b7.00031aa1	folder_config->session_dir	.
TOP.5fe7b5b7.00031aa1	folder_config->shared_dir	.
TOP.5fe7b5b7.00031aa1	user_options->separator	:
TOP.5fe7b5b7.00031aa1	user_options->encoding_from	utf-8
TOP.5fe7b5b7.00031aa1	user_options->encoding_to	utf-8
TOP.5fe7b5b7.00031aa1	user_options->rule_buf_l	:
TOP.5fe7b5b7.00031aa1	user_options->rule_buf_r	:
TOP.5fe7b5b7.00031aa1	user_options->session	hashcat
TOP.5fe7b5b7.00031aa1	user_options->limit	0
TOP.5fe7b5b7.00031aa1	user_options->skip	0
TOP.5fe7b5b7.00031aa1	user_options->attack_mode	0
TOP.5fe7b5b7.00031aa1	user_options->benchmark	0
TOP.5fe7b5b7.00031aa1	user_options->benchmark_all	0
TOP.5fe7b5b7.00031aa1	user_options->bitmap_max	18
TOP.5fe7b5b7.00031aa1	user_options->bitmap_min	16
TOP.5fe7b5b7.00031aa1	user_options->debug_mode	0
TOP.5fe7b5b7.00031aa1	user_options->example_hashes	0
TOP.5fe7b5b7.00031aa1	user_options->force	0
TOP.5fe7b5b7.00031aa1	user_options->hwmon_disable	0
TOP.5fe7b5b7.00031aa1	user_options->hwmon_temp_abort	90
TOP.5fe7b5b7.00031aa1	user_options->hash_mode	0
TOP.5fe7b5b7.00031aa1	user_options->hex_charset	0
TOP.5fe7b5b7.00031aa1	user_options->hex_salt	0
TOP.5fe7b5b7.00031aa1	user_options->hex_wordlist	0
TOP.5fe7b5b7.00031aa1	user_options->hook_threads	32
TOP.5fe7b5b7.00031aa1	user_options->increment	0
TOP.5fe7b5b7.00031aa1	user_options->increment_max	256
TOP.5fe7b5b7.00031aa1	user_options->increment_min	1
TOP.5fe7b5b7.00031aa1	user_options->keep_guessing	0
TOP.5fe7b5b7.00031aa1	user_options->kernel_accel	0
TOP.5fe7b5b7.00031aa1	user_options->kernel_loops	0
TOP.5fe7b5b7.00031aa1	user_options->kernel_threads	0
TOP.5fe7b5b7.00031aa1	user_options->keyspace	0
TOP.5fe7b5b7.00031aa1	user_options->left	0
TOP.5fe7b5b7.00031aa1	user_options->logfile_disable	0
TOP.5fe7b5b7.00031aa1	user_options->loopback	0
TOP.5fe7b5b7.00031aa1	user_options->machine_readable	0
TOP.5fe7b5b7.00031aa1	user_options->markov_classic	0
TOP.5fe7b5b7.00031aa1	user_options->markov_disable	0
TOP.5fe7b5b7.00031aa1	user_options->markov_threshold	256
TOP.5fe7b5b7.00031aa1	user_options->backend_info	0
TOP.5fe7b5b7.00031aa1	user_options->backend_vector_width	0
TOP.5fe7b5b7.00031aa1	user_options->optimized_kernel_enable	0
TOP.5fe7b5b7.00031aa1	user_options->outfile_autohex	1
TOP.5fe7b5b7.00031aa1	user_options->outfile_check_timer	5
TOP.5fe7b5b7.00031aa1	user_options->outfile_format	3
TOP.5fe7b5b7.00031aa1	user_options->wordlist_autohex_disable	0
TOP.5fe7b5b7.00031aa1	user_options->potfile_disable	0
TOP.5fe7b5b7.00031aa1	user_options->progress_only	0
TOP.5fe7b5b7.00031aa1	user_options->quiet	0
TOP.5fe7b5b7.00031aa1	user_options->remove	0
TOP.5fe7b5b7.00031aa1	user_options->remove_timer	60
TOP.5fe7b5b7.00031aa1	user_options->restore	0
TOP.5fe7b5b7.00031aa1	user_options->restore_disable	0
TOP.5fe7b5b7.00031aa1	user_options->restore_timer	60
TOP.5fe7b5b7.00031aa1	user_options->rp_files_cnt	0
TOP.5fe7b5b7.00031aa1	user_options->rp_gen	0
TOP.5fe7b5b7.00031aa1	user_options->rp_gen_func_max	4
TOP.5fe7b5b7.00031aa1	user_options->rp_gen_func_min	1
TOP.5fe7b5b7.00031aa1	user_options->rp_gen_seed	0
TOP.5fe7b5b7.00031aa1	user_options->runtime	0
TOP.5fe7b5b7.00031aa1	user_options->scrypt_tmto	0
TOP.5fe7b5b7.00031aa1	user_options->segment_size	33554432
TOP.5fe7b5b7.00031aa1	user_options->self_test_disable	0
TOP.5fe7b5b7.00031aa1	user_options->slow_candidates	0
TOP.5fe7b5b7.00031aa1	user_options->show	0
TOP.5fe7b5b7.00031aa1	user_options->speed_only	0
TOP.5fe7b5b7.00031aa1	user_options->spin_damp	0
TOP.5fe7b5b7.00031aa1	user_options->status	0
TOP.5fe7b5b7.00031aa1	user_options->status_json	0
TOP.5fe7b5b7.00031aa1	user_options->status_timer	10
TOP.5fe7b5b7.00031aa1	user_options->stdout_flag	0
TOP.5fe7b5b7.00031aa1	user_options->usage	0
TOP.5fe7b5b7.00031aa1	user_options->username	0
TOP.5fe7b5b7.00031aa1	user_options->veracrypt_pim_start	485
TOP.5fe7b5b7.00031aa1	user_options->veracrypt_pim_stop	485
TOP.5fe7b5b7.00031aa1	user_options->version	0
TOP.5fe7b5b7.00031aa1	user_options->workload_profile	2
TOP.5fe7b5b7.00031aa1	user_options->brain_client	0
TOP.5fe7b5b7.00031aa1	user_options->brain_client_features	2
TOP.5fe7b5b7.00031aa1	user_options->brain_server	0
TOP.5fe7b5b7.00031aa1	user_options->brain_server_timer	300
TOP.5fe7b5b7.00031aa1	user_options->brain_port	6863
TOP.5fe7b5b7.00031aa1	user_options->brain_session	0
TOP.5fe7b5b7.00031aa1	hashes->hashlist_mode	2
TOP.5fe7b5b7.00031aa1	hashes->hashlist_format	0
TOP.5fe7b5b7.00031aa1	hashes->hashes_cnt	0
TOP.5fe7b5b7.00031aa1	hashes->digests_cnt	1
TOP.5fe7b5b7.00031aa1	hashes->digests_done	0
TOP.5fe7b5b7.00031aa1	hashes->salts_cnt	1
TOP.5fe7b5b7.00031aa1	hashes->salts_done	0
TOP.5fe7b5b7.00031aa1	SUB.5fe7b5b7.0006c1c7	START
TOP.5fe7b5b7.00031aa1	SUB.5fe7b5b7.0006c1c7	straight_ctx->dict	..\wordlists\wordlist1.txt
TOP.5fe7b5b7.00031aa1	SUB.5fe7b5b7.0006c1c7	runtime_start	1609020855
TOP.5fe7b5b7.00031aa1	SUB.5fe7b5b7.0006c1c7	runtime_stop	1609020855
TOP.5fe7b5b7.00031aa1	SUB.5fe7b5b7.0006c1c7	status-after-work	5
TOP.5fe7b5b7.00031aa1	SUB.5fe7b5b7.0006c1c7	STOP
TOP.5fe7b5b7.00031aa1	proc_start	1609020855
TOP.5fe7b5b7.00031aa1	proc_stop	1609020856
TOP.5fe7b5b7.00031aa1	STOP
TOP.5fe7b5c9.0001f1a4	START
TOP.5fe7b5c9.0001f1a4	folder_config->cwd	F:\D_Data\neehackAgent\hashcat
TOP.5fe7b5c9.0001f1a4	folder_config->install_dir	.
TOP.5fe7b5c9.0001f1a4	folder_config->profile_dir	.
TOP.5fe7b5c9.0001f1a4	folder_config->session_dir	.
TOP.5fe7b5c9.0001f1a4	folder_config->shared_dir	.
TOP.5fe7b5c9.0001f1a4	user_options->separator	:
TOP.5fe7b5c9.0001f1a4	user_options->encoding_from	utf-8
TOP.5fe7b5c9.0001f1a4	user_options->encoding_to	utf-8
TOP.5fe7b5c9.0001f1a4	user_options->rule_buf_l	:
TOP.5fe7b5c9.0001f1a4	user_options->rule_buf_r	:
TOP.5fe7b5c9.0001f1a4	user_options->session	hashcat
TOP.5fe7b5c9.0001f1a4	user_options->limit	0
TOP.5fe7b5c9.0001f1a4	user_options->skip	0
TOP.5fe7b5c9.0001f1a4	user_options->attack_mode	0
TOP.5fe7b5c9.0001f1a4	user_options->benchmark	0
TOP.5fe7b5c9.0001f1a4	user_options->benchmark_all	0
TOP.5fe7b5c9.0001f1a4	user_options->bitmap_max	18
TOP.5fe7b5c9.0001f1a4	user_options->bitmap_min	16
TOP.5fe7b5c9.0001f1a4	user_options->debug_mode	0
TOP.5fe7b5c9.0001f1a4	user_options->example_hashes	0
TOP.5fe7b5c9.0001f1a4	user_options->force	0
TOP.5fe7b5c9.0001f1a4	user_options->hwmon_disable	0
TOP.5fe7b5c9.0001f1a4	user_options->hwmon_temp_abort	90
TOP.5fe7b5c9.0001f1a4	user_options->hash_mode	0
TOP.5fe7b5c9.0001f1a4	user_options->hex_charset	0
TOP.5fe7b5c9.0001f1a4	user_options->hex_salt	0
TOP.5fe7b5c9.0001f1a4	user_options->hex_wordlist	0
TOP.5fe7b5c9.0001f1a4	user_options->hook_threads	32
TOP.5fe7b5c9.0001f1a4	user_options->increment	0
TOP.5fe7b5c9.0001f1a4	user_options->increment_max	256
TOP.5fe7b5c9.0001f1a4	user_options->increment_min	1
TOP.5fe7b5c9.0001f1a4	user_options->keep_guessing	0
TOP.5fe7b5c9.0001f1a4	user_options->kernel_accel	0
TOP.5fe7b5c9.0001f1a4	user_options->kernel_loops	0
TOP.5fe7b5c9.0001f1a4	user_options->kernel_threads	0
TOP.5fe7b5c9.0001f1a4	user_options->keyspace	0
TOP.5fe7b5c9.0001f1a4	user_options->left	0
TOP.5fe7b5c9.0001f1a4	user_options->logfile_disable	0
TOP.5fe7b5c9.0001f1a4	user_options->loopback	0
TOP.5fe7b5c9.0001f1a4	user_options->machine_readable	0
TOP.5fe7b5c9.0001f1a4	user_options->markov_classic	0
TOP.5fe7b5c9.0001f1a4	user_options->markov_disable	0
TOP.5fe7b5c9.0001f1a4	user_options->markov_threshold	256
TOP.5fe7b5c9.0001f1a4	user_options->backend_info	0
TOP.5fe7b5c9.0001f1a4	user_options->backend_vector_width	0
TOP.5fe7b5c9.0001f1a4	user_options->optimized_kernel_enable	0
TOP.5fe7b5c9.0001f1a4	user_options->outfile_autohex	1
TOP.5fe7b5c9.0001f1a4	user_options->outfile_check_timer	5
TOP.5fe7b5c9.0001f1a4	user_options->outfile_format	3
TOP.5fe7b5c9.0001f1a4	user_options->wordlist_autohex_disable	0
TOP.5fe7b5c9.0001f1a4	user_options->potfile_disable	0
TOP.5fe7b5c9.0001f1a4	user_options->progress_only	0
TOP.5fe7b5c9.0001f1a4	user_options->quiet	0
TOP.5fe7b5c9.0001f1a4	user_options->remove	0
TOP.5fe7b5c9.0001f1a4	user_options->remove_timer	60
TOP.5fe7b5c9.0001f1a4	user_options->restore	0
TOP.5fe7b5c9.0001f1a4	user_options->restore_disable	0
TOP.5fe7b5c9.0001f1a4	user_options->restore_timer	60
TOP.5fe7b5c9.0001f1a4	user_options->rp_files_cnt	0
TOP.5fe7b5c9.0001f1a4	user_options->rp_gen	0
TOP.5fe7b5c9.0001f1a4	user_options->rp_gen_func_max	4
TOP.5fe7b5c9.0001f1a4	user_options->rp_gen_func_min	1
TOP.5fe7b5c9.0001f1a4	user_options->rp_gen_seed	0
TOP.5fe7b5c9.0001f1a4	user_options->runtime	0
TOP.5fe7b5c9.0001f1a4	user_options->scrypt_tmto	0
TOP.5fe7b5c9.0001f1a4	user_options->segment_size	33554432
TOP.5fe7b5c9.0001f1a4	user_options->self_test_disable	0
TOP.5fe7b5c9.0001f1a4	user_options->slow_candidates	0
TOP.5fe7b5c9.0001f1a4	user_options->show	0
TOP.5fe7b5c9.0001f1a4	user_options->speed_only	0
TOP.5fe7b5c9.0001f1a4	user_options->spin_damp	0
TOP.5fe7b5c9.0001f1a4	user_options->status	0
TOP.5fe7b5c9.0001f1a4	user_options->status_json	0
TOP.5fe7b5c9.0001f1a4	user_options->status_timer	10
TOP.5fe7b5c9.0001f1a4	user_options->stdout_flag	0
TOP.5fe7b5c9.0001f1a4	user_options->usage	0
TOP.5fe7b5c9.0001f1a4	user_options->username	0
TOP.5fe7b5c9.0001f1a4	user_options->veracrypt_pim_start	485
TOP.5fe7b5c9.0001f1a4	user_options->veracrypt_pim_stop	485
TOP.5fe7b5c9.0001f1a4	user_options->version	0
TOP.5fe7b5c9.0001f1a4	user_options->workload_profile	2
TOP.5fe7b5c9.0001f1a4	user_options->brain_client	0
TOP.5fe7b5c9.0001f1a4	user_options->brain_client_features	2
TOP.5fe7b5c9.0001f1a4	user_options->brain_server	0
TOP.5fe7b5c9.0001f1a4	user_options->brain_server_timer	300
TOP.5fe7b5c9.0001f1a4	user_options->brain_port	6863
TOP.5fe7b5c9.0001f1a4	user_options->brain_session	0
TOP.5fe7b5c9.0001f1a4	hashes->hashlist_mode	2
TOP.5fe7b5c9.0001f1a4	hashes->hashlist_format	0
TOP.5fe7b5c9.0001f1a4	hashes->hashes_cnt	0
TOP.5fe7b5c9.0001f1a4	hashes->digests_cnt	1
TOP.5fe7b5c9.0001f1a4	hashes->digests_done	0
TOP.5fe7b5c9.0001f1a4	hashes->salts_cnt	1
TOP.5fe7b5c9.0001f1a4	hashes->salts_done	0
TOP.5fe7b5c9.0001f1a4	SUB.5fe7b5c9.0005395f	START
TOP.5fe7b5c9.0001f1a4	SUB.5fe7b5c9.0005395f	straight_ctx->dict	..\wordlists\wordlist1.txt
TOP.5fe7b5c9.0001f1a4	SUB.5fe7b5c9.0005395f	runtime_start	1609020873
TOP.5fe7b5c9.0001f1a4	SUB.5fe7b5c9.0005395f	runtime_stop	1609020873
TOP.5fe7b5c9.0001f1a4	SUB.5fe7b5c9.0005395f	status-after-work	5
TOP.5fe7b5c9.0001f1a4	SUB.5fe7b5c9.0005395f	STOP
TOP.5fe7b5c9.0001f1a4	proc_start	1609020873
TOP.5fe7b5c9.0001f1a4	proc_stop	1609020874
TOP.5fe7b5c9.0001f1a4	STOP
TOP.5fe7b5db.0003135a	START
TOP.5fe7b5db.0003135a	folder_config->cwd	F:\D_Data\neehackAgent\hashcat
